Indicator.Name,2022-09-30
INFLATION RATE,19.733220585828597
ALL ITEMS INDEX,4.83936026023462
Food and Non-Alcoholic Beverages,8.322711450052923
Alcoholic Beverages and Tobacco ,0.9694742056264966
Clothing and Footwear,2.630134099499667
"Housing, Water, Electricity, Gas and Other Fuels",3.2418204067441883
"Furnishings, Household Equipment and Routine Household Maintenance",3.627464244091448
Health,1.394328019778328
Transport,7.90608809714007
Information and Communication,1.1082608139587247
"Recreation, Sport and Culture",1.6230912706136609
Education Services,0.737489761888303
Restaurants and Accomodation Services,1.8222595994742945
Insurance and Financial Services,0.2310182753253075
"Personal Care, Social Protection and Miscellaneous Goods and Services ",2.227361320497851
