Indicator.Name,2023-01-31
INFLATION RATE,23.61807244911116
ALL ITEMS INDEX,4.941069271691107
Food and Non-Alcoholic Beverages,9.891702667500416
Alcoholic Beverages and Tobacco ,0.5825903811958426
Clothing and Footwear,2.503339321059083
"Housing, Water, Electricity, Gas and Other Fuels",1.9819011368392532
"Furnishings, Household Equipment and Routine Household Maintenance",3.022244107323728
Health,1.8093960645112674
Transport,6.16264620542883
Information and Communication,1.6523006686252766
"Recreation, Sport and Culture",0.9597900351171125
Education Services,2.9250104458849964
Restaurants and Accomodation Services,2.831433728827315
Insurance and Financial Services,0.04138801874020822
"Personal Care, Social Protection and Miscellaneous Goods and Services ",2.1126587752046535
