Indicator.Name,2022-12-31
INFLATION RATE,16.249142451659367
ALL ITEMS INDEX,4.842713781268395
Food and Non-Alcoholic Beverages,9.677604978568812
Alcoholic Beverages and Tobacco ,0.8382063456913877
Clothing and Footwear,2.6004680115485757
"Housing, Water, Electricity, Gas and Other Fuels",2.6548707809037504
"Furnishings, Household Equipment and Routine Household Maintenance",3.6651686770058487
Health,1.6601511446014021
Transport,5.101023213727678
Information and Communication,1.2725195120218122
"Recreation, Sport and Culture",2.0277120299934412
Education Services,0.7305355485089884
Restaurants and Accomodation Services,2.738472988315644
Insurance and Financial Services,-0.13940975850458465
"Personal Care, Social Protection and Miscellaneous Goods and Services ",2.543686096175476
