Indicator.Name,2022-10-31
INFLATION RATE,22.44576190459919
ALL ITEMS INDEX,4.94224963342376
Food and Non-Alcoholic Beverages,9.117833530370577
Alcoholic Beverages and Tobacco ,0.9231061800829524
Clothing and Footwear,2.544341744693579
"Housing, Water, Electricity, Gas and Other Fuels",3.6633757547004944
"Furnishings, Household Equipment and Routine Household Maintenance",4.189018655060741
Health,1.2942895427724528
Transport,6.081008670618866
Information and Communication,1.2122322994144885
"Recreation, Sport and Culture",2.157287249052939
Education Services,0.7295911716350822
Restaurants and Accomodation Services,2.3394697613039073
Insurance and Financial Services,-0.20834941280634262
"Personal Care, Social Protection and Miscellaneous Goods and Services ",2.3639058182924786
