Indicator.Name,Indicator.Code,2022-12-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,"8,3"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,"16,2"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,"6,5"
Clothing and footwear,PCPIA_PC_CP_A_PT,"3,8"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,"2,5"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,"3,1"
Health,PCPIM_PC_CP_A_PT,"2,5"
Transport,PCPIT_PC_CP_A_PT,"5,9"
Communication,PCPIEC_PC_CP_A_PT,"0,0"
Recreation and culture,PCPIR_PC_CP_A_PT,"7,5"
Education,PCPIED_PC_CP_A_PT,"-0,4"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,"7,3"
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,"1,4"
