original_language,2022-04-30,Indicator.Name
et boissons non,"8,2",
Boissons alcoolisées et tabac,"3,8",Alcoholic beverages and tobacco
Articles d'habillement et chaussures,"4,7",
électricité et autres,"0,3",
ménage et entretien,"4,8",
Santé,"0,0",Healthcare
Transports,"1,9",Transport
Communications,"0,0",Communications
Loisirs et culture,"3,7",culture
Enseignement,"0,4",Education
Restaurants et hôtels,"4,5",Restaurants and hotels
Biens et services divers,"-2,8",Miscellaneous goods and services
Indice général,"4,0",General Index
