original_language,2022-05-31,Indicator.Name
et boissons non,"10,9",
Boissons alcoolisées et tabac,"-0,7",Alcoholic beverages and tobacco
Articles d'habillement et chaussures,"4,9",
électricité et autres,"-0,3",
ménage et entretien,"5,6",
Santé,"0,3",Healthcare
Transports,"2,6",Transport
Communications,"0,0",Communications
Loisirs et culture,"6,2",culture
Enseignement,"0,4",Education
Restaurants et hôtels,"4,0",Restaurants and hotels
Biens et services divers,"-2,4",Miscellaneous goods and services
Indice général,"5,0",General Index
