original_language,2022-06-30,Indicator.Name
et boissons non,"12,9",
Boissons alcoolisées et tabac,"1,6",Alcoholic beverages and tobacco
Articles d'habillement et chaussures,"4,1",
électricité et autres,"-2,5",
ménage et entretien,"6,9",
Santé,"0,5",Healthcare
Transports,"3,9",Transport
Communications,"0,0",Communications
Loisirs et culture,"5,7",culture
Enseignement,"0,4",Education
Restaurants et hôtels,"7,5",Restaurants and hotels
Biens et services divers,"-2,5",Miscellaneous goods and services
Indice général,"5,3",General Index
