Indicator.Name,Indicator.Code,2022-08-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,"7,7"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,
Clothing and footwear,PCPIA_PC_CP_A_PT,
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,
Health,PCPIM_PC_CP_A_PT,"1,2"
Transport,PCPIT_PC_CP_A_PT,"2,3"
Communication,PCPIEC_PC_CP_A_PT,"0,0"
Recreation and culture,PCPIR_PC_CP_A_PT,"6,5"
Education,PCPIED_PC_CP_A_PT,"0,5"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,"1,0"
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,"-0,2"
