original_language,2022-02-28,Indicator.Name
Produits alimentaires et boissons non alcoolisées,"6,1",Food and non-alcoholic beverages
Boissons alcoolisées et tabac,"1,4",Alcoholic beverages and tobacco
Articles d'habillement et chaussures,"0,8",Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","-1,8","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant de la maison","1,0","05. Household goods, domestic appliances and routine home maintenance"
Santé,"-0,6",Healthcare
Transports,"2,9",Transport
Communications,"0,0",Communications
Loisirs et culture,"-0,1",Leisure and culture
Enseignement,"0,4",Education
Restaurants et hôtels,"2,9",Restaurants and hotels
Biens et services divers,"5,0",Miscellaneous goods and services
Indice général,"2,2",General Index
