original_language,2023-01-31,Indicator.Name
Produits non alcoolisées,"17,3",Food
Boissons alcoolisées et tabac,"6,1",Alcoholic beverages and tobacco
Articles chaussures,"1,0",Clothing
"Logement, autres combustibles","3,2",Housing
"Meubles, entretien courant de la maison","3,6","Household items, furniture, home maintenance"
Santé,"1,6",Healthcare
Transports,"3,3",Transport
Communications,"0,0",Communications
Loisirs et culture,"7,3",culture
Enseignement,"-0,4",Education
Restaurants et hôtels,"13,0",Restaurants and hotels
Biens et services divers,"-3,7",Miscellaneous goods and services
Indice général,"8,5",General Index
