Indicator.Name,Indicator.Code,2022-03-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,"3,5"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,
Clothing and footwear,PCPIA_PC_CP_A_PT,
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,
Health,PCPIM_PC_CP_A_PT,"0,8"
Transport,PCPIT_PC_CP_A_PT,"5,4"
Communication,PCPIEC_PC_CP_A_PT,"0,0"
Recreation and culture,PCPIR_PC_CP_A_PT,"2,5"
Education,PCPIED_PC_CP_A_PT,"0,4"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,"1,3"
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,"0,7"
