original_language,2022-11-30,Indicator.Name
Produits alimentaires et boissons non alcoolisées,"21,6",
Boissons alcoolisées et tabac,"5,1",Alcoholic beverages and tobacco
Articles d'habillement et chaussures,"6,0",
"Logement, eau, gaz, électricité et autres combustibles","0,9",
"Meubles, articles de ménage et entretien courant de la maison","5,6",
Santé,"3,3",Healthcare
Transports,"5,3",Transport
Communications,"0,0",Communications
Loisirs et culture,"7,7",culture
Enseignement,"-0,4",Education
Restaurants et hôtels,"4,6",Restaurants and hotels
Biens et services divers,"0,6",Miscellaneous goods and services
Indice général,"10,0",General Index
