Indicator.Name,Indicator.Code,2022-07-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,"6,1"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,"4,5"
Clothing and footwear,PCPIA_PC_CP_A_PT,
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,
Health,PCPIM_PC_CP_A_PT,"1,0"
Transport,PCPIT_PC_CP_A_PT,"4,4"
Communication,PCPIEC_PC_CP_A_PT,"0,0"
Recreation and culture,PCPIR_PC_CP_A_PT,"6,3"
Education,PCPIED_PC_CP_A_PT,"0,5"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,"8,7"
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,"-1,1"
