original_language,2022-10-31,Indicator.Name
Produits alimentaires et boissons non alcoolisées,"16,5",
Boissons alcoolisées et tabac,"3,2",Alcoholic beverages and tobacco
Articles d'habillement et chaussures,"6,9",
"Logement, eau, gaz, électricité et autres combustibles","1,6",
et entretien courant de la,"7,6",
Santé,"1,3",Healthcare
Transports,"5,6",Transport
Communications,"0,0",Communications
Loisirs et culture,"6,3",culture
Enseignement,"-0,4",Education
Restaurants et hôtels,"1,3",Restaurants and hotels
Biens et services divers,"-1,1",Miscellaneous goods and services
Indice général,"8,3",General Index
