Indicator.Name,Indicator.Code,2023-01-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,"8,5"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,"17,3"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,"6,1"
Clothing and footwear,PCPIA_PC_CP_A_PT,"1,0"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,"3,2"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,"3,6"
Health,PCPIM_PC_CP_A_PT,"1,6"
Transport,PCPIT_PC_CP_A_PT,"3,3"
Communication,PCPIEC_PC_CP_A_PT,"0,0"
Recreation and culture,PCPIR_PC_CP_A_PT,"7,3"
Education,PCPIED_PC_CP_A_PT,"-0,4"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,"13,0"
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,"-3,7"
