original_language,2023-01-31,Indicator.Name
INDICE GLOBAL,"8,2",GLOBAL INDEX
Produits alimentaires et boissons non alcoolisées,"10,8",Food and non-alcoholic beverages
"Boissons alcoolisées, Tabac et stupéfiants","14,4","ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
Articles d'habillement et chaussures,"0,1",Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","13,4","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant du foyer","1,0","Furnishing, household equipment and routine household maintenance"
Santé,"0,0",Healthcare
Transports,"7,2",Transport
Communication,"0,0",Communication
Loisirs et culture,"0,9",Leisure and culture
Enseignement,"1,7",Education
Restaurants et Hôtels,"0,9",Restaurants and hotels
Biens et services divers,"0,1",Miscellaneous goods and services
