Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,nov-21,août-22 sept-22 oct-22,nov-22,/1mois /3mois /12mois
,,ration,,,,
,INDICE GLOBAL,10000,"111,6","120,9 120,5 119,7","121,3","1,4 0,3 8,8"
I,Produits alimentaires et boissons non alcoolisées,3287,"123,2","137,5 134,6 131,2","134,4","2,4 -2,3 9,0"
,Produits alimentaires,3067,"124,3","139,4 136,4 132,8","136,1","2,5 -2,3 9,5"
,dont:  Pains et céréales,911,"120,6","135,6 131,0 125,9","127,6","1,4 -5,9 5,8"
,Viande,308,"125,9","139,1 140,1 137,8","139,3","1,1 0,2 10,6"
,Poisson et fruits de mer,459,"134,4","145,0 145,2 134,9","142,8","5,9 -1,5 6,3"
,Huiles et graisses,160,"146,2","166,9 170,2 173,1","179,8","3,9 7,7 23,0"
,Légumes,753,"125,5","140,3 133,1 130,9","130,3","-0,5 -7,1 3,8"
,Tubercules et plantains,153,"127,6","171,4 129,5 119,4","119,7","0,3 -30,1 -6,2"
,"Sel, épices, sauces et produits alimentaires n.d.a.",157,"109,2","122,1 118,4 129,6","141,5","9,2 16,0 29,6"
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"105,9","114,3 119,6 116,8","116,9","0,1 2,2 10,4"
III,Articles d'habillement et chaussures,839,"108,0","114,3 115,1 115,7","116,6","0,8 2,0 8,0"
IV,"Logement, eau, gaz, électricité et autres combustibles",1203,"101,3","109,6 111,1 111,8","114,3","2,2 4,2 12,8"
,"Meubles, articles de ménage et entretien courant du",,,,,
V,,278,"111,5","119,4 120,3 121,0","121,3","0,2 1,6 8,8"
,foyer,,,,,
VI,Santé,370,"103,7","104,5 104,2 104,2","104,0","-0,2 -0,4 0,3"
VII,Transports,941,"95,3","111,6 111,7 112,1","112,1","0,0 0,4 17,7"
VIII,Communication,588,"101,8","101,6 101,6 101,7","101,6","-0,1 0,0 -0,3"
IX,Loisirs et culture,236,"104,8","113,2 113,5 113,6","113,7","0,1 0,4 8,4"
X,Enseignement,201,"108,1","109,5 109,8 111,2","111,1","-0,1 1,4 2,8"
XI,Restaurants et hôtels,1495,"115,0","120,8 122,2 122,2","124,0","1,5 2,6 7,8"
XII,Biens et services divers,469,"108,9","112,8 113,2 114,3","114,4","0,1 1,4 5,0"
