Unnamed: 0,Unnamed: 1,Unnamed: 3,2022-06-30
,INDICE GLOBAL 10000,"6,8",0
I,Produits alimentaires et boissons non alcoolisées 3287,"10,2",0
II,"Boissons alcoolisées, tabacs et stupéfiants 93","2,5",0
III,Articles d'habillement et chaussures 839,"4,6",0
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","7,3",0
"Meubles, articles de ménage et entretien courant du V","5,3 foyer  278",,0
VI,Santé 370,"0,8",0
VII,Transports 941,"9,7",0
VIII,Communication 588,"-0,2",0
IX,Loisirs et culture 236,"8,5",0
X,Enseignement 201,"-2,4",0
XI,Restaurants et hôtels 1495,"3,9",0
XII,Biens et services divers 469,"3,4",0
