Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,déc-21,sept-22 oct-22 nov-22,déc-22,/1mois /3mois /12mois
,,ration,,,,
,INDICE GLOBAL,10000,"113,8","120,5 119,7 121,3","122,6","1,0 1,7 7,7"
I,Produits alimentaires et boissons non alcoolisées,3287,"129,1","134,6 131,2 134,4","137,8","2,6 2,4 6,7"
,Produits alimentaires,3067,"130,5","136,4 132,8 136,1","139,9","2,7 2,6 7,2"
,dont:  Pains et céréales,911,"130,8","131,0 125,9 127,6","136,0","6,6 3,9 4,0"
,Viande,308,"127,5","140,1 137,8 139,3","141,0","1,2 0,6 10,6"
,Poisson et fruits de mer,459,"135,9","145,2 134,9 142,8","140,5","-1,6 -3,2 3,4"
,Huiles et graisses,160,"149,3","170,2 173,1 179,8","194,8","8,3 14,4 30,4"
,Légumes,753,"132,3","133,1 130,9 130,3","131,6","1,0 -1,1 -0,6"
,Tubercules et plantains,153,"135,1","129,5 119,4 119,7","120,2","0,3 -7,2 -11,0"
,"Sel, épices, sauces et produits alimentaires n.d.a.",157,"113,3","118,4 129,6 141,5","144,8","2,3 22,3 27,8"
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"109,0","119,6 116,8 116,9","117,3","0,3 -1,9 7,6"
III,Articles d'habillement et chaussures,839,"108,2","115,1 115,7 116,6","117,0","0,4 1,7 8,1"
IV,"Logement, eau, gaz, électricité et autres combustibles",1203,"103,2","111,1 111,8 114,3","112,6","-1,5 1,3 9,0"
,"Meubles, articles de ménage et entretien courant du",,,,,
V,,278,"111,5","120,3 121,0 121,3","121,7","0,3 1,1 9,1"
,foyer,,,,,
VI,Santé,370,"103,4","104,2 104,2 104,0","104,2","0,2 0,0 0,8"
VII,Transports,941,"95,2","111,7 112,1 112,1","112,6","0,5 0,9 18,3"
VIII,Communication,588,"101,8","101,6 101,7 101,6","101,6","0,0 0,0 -0,3"
IX,Loisirs et culture,236,"104,8","113,5 113,6 113,7","114,7","0,9 1,1 9,4"
X,Enseignement,201,"108,1","109,8 111,2 111,1","111,1","0,0 1,2 2,8"
XI,Restaurants et hôtels,1495,"115,0","122,2 122,2 124,0","125,2","1,0 2,5 8,9"
XII,Biens et services divers,469,"109,1","113,2 114,3 114,4","114,4","0,1 1,1 4,9"
