Unnamed: 0,Unnamed: 1,Unnamed: 2,Indices des mois de,Variation en %,Unnamed: 3
,Pondé Libellé /12mois ration,sept-21,juin-22 juil-22 août-22 sept-22,/1mois /3mois,
,INDICE GLOBAL 10000,"111,7","120,1 120,5 120,9 120,5","-0,3 0,4","7,9"
I,Produits alimentaires et boissons non alcoolisées 3287,"124,0","140,2 140,4 137,5 134,6","-2,1 -4,0","8,6"
,Produits alimentaires 3067,"125,1","142,4 142,5 139,4 136,4","-2,1 -4,2","9,0"
,dont:  Pains et céréales911,"125,4","140,5 137,6 135,6 131,0","-3,4 -6,8","4,4"
,Viande 308,"124,6","137,2 137,9 139,1 140,1","0,7 2,1","12,4"
,Poisson et fruits de mer 459,"136,4","143,4 147,5 145,0 145,2","0,2 1,3","6,5"
,Huiles et graisses 160,"129,4","156,4 166,2 166,9 170,2","1,9 8,8","31,5"
,Légumes  753,"124,3","150,5 151,0 140,3 133,1","-5,1 -11,6","7,1"
,Tubercules et plantains 153,"136,2","203,8 228,4 171,4 129,5","-24,5 -36,5","-4,9"
,"Sel, épices, sauces et produits alimentaires n.d.a. 157","106,4","123,5 123,1 122,1 118,4","-3,0 -4,1","11,3"
II,"Boissons alcoolisées, tabacs et stupéfiants 93","109,2","111,4 112,6 114,3 119,6","4,6 7,3","9,5"
III,Articles d'habillement et chaussures 839,"107,8","112,4 113,4 114,3 115,1","0,7 2,4","6,7"
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","100,2","107,0 105,8 109,6 111,1","1,4 3,8","11,0"
"Meubles, articles de ménage et entretien courant du V","8,1 foyer  278","111,4","117,2 118,1 119,4 120,3","0,8 2,7",
VI,Santé 370,"103,1","104,0 104,0 104,5 104,2","-0,2 0,2","1,0"
VII,Transports 941,"95,2","103,0 106,5 111,6 111,7","0,0 8,4","17,3"
VIII,Communication 588,"101,9","101,6 101,6 101,6 101,6","0,0 0,0","-0,3"
IX,Loisirs et culture 236,"104,7","112,9 112,9 113,2 113,5","0,2 0,6","8,4"
X,Enseignement 201,"107,7","109,2 109,5 109,5 109,8","0,3 0,5","2,0"
XI,Restaurants et hôtels 1495,"115,7","119,3 119,5 120,8 122,2","1,1 2,5","5,6"
XII,Biens et services divers 469,"108,4","111,5 112,1 112,8 113,2","0,4 1,5","4,5"
