Unnamed: 0,Unnamed: 1,Unnamed: 2,Indices des mois de,Variation en %,Unnamed: 3
,Pondé Libellé /12mois ration,juin-21,mars-22 avr-22 mai-22 juin-22,/1mois /3mois,
,INDICE GLOBAL 10000,"112,5","116,1 117,9 119,6 120,1","0,5 3,4","6,8"
I,Produits alimentaires et boissons non alcoolisées 3287,"127,2","132,3 135,9 139,8 140,2","0,3 6,0","10,2"
,Produits alimentaires 3067,"128,7","134,0 137,8 142,0 142,4","0,3 6,2","10,7"
,dont:  Pains et céréales911,"122,7","133,8 134,6 137,4 140,5","2,2 5,0","14,5"
,Viande 308,"122,1","131,5 135,1 137,9 137,2","-0,5 4,3","12,4"
,Poisson et fruits de mer 459,"129,1","140,4 144,0 146,2 143,4","-2,0 2,1","11,0"
,Huiles et graisses 160,"117,4","137,0 147,4 148,6 156,4","5,3 14,2","33,3"
,Légumes  753,"145,1","133,3 137,8 150,3 150,5","0,1 12,9","3,7"
,Tubercules et plantains 153,"182,5","141,0 166,8 190,3 203,8","7,1 44,5","11,7"
,"Sel, épices, sauces et produits alimentaires n.d.a. 157","121,3","113,7 120,6 123,9 123,5","-0,3 8,7","1,8"
II,"Boissons alcoolisées, tabacs et stupéfiants 93","108,7","110,8 109,2 112,6 111,4","-1,0 0,6","2,5"
III,Articles d'habillement et chaussures 839,"107,4","111,2 111,7 111,8 112,4","0,6 1,1","4,6"
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","99,7","106,7 106,4 105,0 107,0","1,9 0,3","7,3"
"Meubles, articles de ménage et entretien courant du V","5,3 foyer  278","111,3","114,1 115,1 116,0 117,2","1,1 2,7",
VI,Santé 370,"103,2","103,8 104,2 104,5 104,0","-0,4 0,2","0,8"
VII,Transports 941,"93,9","96,6 100,7 102,3 103,0","0,7 6,6","9,7"
VIII,Communication 588,"101,8","101,7 101,7 101,6 101,6","0,0 -0,1","-0,2"
IX,Loisirs et culture 236,"104,0","111,8 112,4 112,4 112,9","0,4 1,0","8,5"
X,Enseignement 201,"112,0","109,2 109,2 109,2 109,2","0,0 0,0","-2,4"
XI,Restaurants et hôtels 1495,"114,8","116,1 117,0 118,9 119,3","0,3 2,7","3,9"
XII,Biens et services divers 469,"107,9","110,6 111,3 111,8 111,5","-0,2 0,9","3,4"
