Unnamed: 0,Unnamed: 1,Unnamed: 6,2022-10-31
,Libellé,/1mois /3mois /12mois,0
,,,0
,,,0
,Huiles et graisses,"1,7 4,1 26,7",0
,Légumes,"-1,6 -13,3 2,8",0
,Tubercules et plantains,"-7,8 -47,7 -2,9",0
,"Sel, épices, sauces et produits alimentaires n.d.a.","9,4 5,2 23,8",0
II,"Boissons alcoolisées, tabacs et stupéfiants","-2,3 3,8 6,1",0
III,Articles d'habillement et chaussures,"0,5 2,0 7,2",0
IV,"Logement, eau, gaz, électricité et autres combustibles","0,6 5,7 11,4",0
,"Meubles, articles de ménage et entretien courant du",,0
V,,"0,6 2,4 8,6",0
,foyer,,0
