Unnamed: 0,Unnamed: 1,Unnamed: 6,2022-11-30
,Libellé,/1mois /3mois /12mois,0
,,,0
,Tubercules et plantains,"0,3 -30,1 -6,2",0
,"Sel, épices, sauces et produits alimentaires n.d.a.","9,2 16,0 29,6",0
II,"Boissons alcoolisées, tabacs et stupéfiants","0,1 2,2 10,4",0
III,Articles d'habillement et chaussures,"0,8 2,0 8,0",0
IV,"Logement, eau, gaz, électricité et autres combustibles","2,2 4,2 12,8",0
,"Meubles, articles de ménage et entretien courant du",,0
V,,"0,2 1,6 8,8",0
,foyer,,0
VI,Santé,"-0,2 -0,4 0,3",0
VII,Transports,"0,0 0,4 17,7",0
VIII,Communication,"-0,1 0,0 -0,3",0
