Indicator.Name,2022-07-31
Indice global,"11,00%"
1Produits alimentaires et boissons non alcoolisées,"17,20%"
"2Boissons alcoolisées, tabac et stupéfiant","4,40%"
3Articles d'habillement et chaussures,"3,40%"
"4Logement, eau, électricité, gaz et autres combustibles","4,10%"
"5Meubles, articles de ménages et entretien courant du foyer","4,40%"
6Santé,"3,80%"
7Transports,"2,10%"
8Communication,"-1,20%"
9Loisirs et cultures,"13,70%"
10  Enseignement,"1,60%"
11  Restaurants et hôtels,"5,70%"
12  Biens et services divers,"2,90%"
