Indicator.Name,2022-06-30
nan,1 mois 3 mois 12 mois
Indice global,"8,90%"
1Produits alimentaires et boissons non alcoolisées,"14,10%"
"2Boissons alcoolisées, tabac et stupéfiant","3,40%"
3Articles d'habillement et chaussures,"3,20%"
"4Logement, eau, électricité, gaz et autres combustibles","3,80%"
"5Meubles, articles de ménages et entretien courant du foyer","4,10%"
6Santé,"0,50%"
7Transports,"1,70%"
8Communication,"-1,20%"
9Loisirs et cultures,"9,60%"
10  Enseignement,"1,60%"
11  Restaurants et hôtels,"5,70%"
12  Biens et services divers,"2,30%"
