Indicator.Name,2022-01-31
Indice global,"5,5%"
1Produits alimentaires et boissons non alcoolisées,"9,1%"
"2Boissons alcoolisées, tabac et stupéfiant","1,2%"
3Articles d'habillement et chaussures,"1,0%"
"4Logement, eau, électricité, gaz et autres combustibles","3,0%"
"5Meubles, articles de ménages et entretien courant du foyer","2,9%"
6Santé,"0,8%"
7Transports,"3,1%"
8Communication,"-7,2%"
9Loisirs et cultures,"1,0%"
10  Enseignement,"1,6%"
11  Restaurants et hôtels,"3,3%"
12  Biens et services divers,"2,1%"
