Indicator.Name,2022-04-30
Indice global,"7,0%"
1Produits alimentaires et boissons non alcoolisées,"11,4%"
"2Boissons alcoolisées, tabac et stupéfiant","2,9%"
3Articles d'habillement et chaussures,"4,1%"
"4Logement, eau, électricité, gaz et autres combustibles","3,1%"
"5Meubles, articles de ménages et entretien courant du foyer","3,7%"
6Santé,"1,0%"
7Transports,"2,4%"
8Communication,"-7,1%"
9Loisirs et cultures,"0,8%"
10  Enseignement,"1,6%"
11  Restaurants et hôtels,"5,1%"
12  Biens et services divers,"2,2%"
