Indicator.Name,Indicator.Code,2017-06-30
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,9.21
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,15.81
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,
Clothing and footwear,PCPIA_PC_CP_A_PT,3.99
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,3.4
Health,PCPIM_PC_CP_A_PT,2.85
Transport,PCPIT_PC_CP_A_PT,4.23
Communication,PCPIEC_PC_CP_A_PT,0.11
Recreation and culture,PCPIR_PC_CP_A_PT,1.51
Education,PCPIED_PC_CP_A_PT,2.84
Restaurants and hotels,PCPIRE_PC_CP_A_PT,5.66
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,3.96
