Indicator.Name,Indicator.Code,2017-04-30
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,11.48
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,20.98
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,3.26
Clothing and footwear,PCPIA_PC_CP_A_PT,4.01
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,2.94
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,3.1
Health,PCPIM_PC_CP_A_PT,3.05
Transport,PCPIT_PC_CP_A_PT,5.11
Communication,PCPIEC_PC_CP_A_PT,0.1
Recreation and culture,PCPIR_PC_CP_A_PT,1.99
Education,PCPIED_PC_CP_A_PT,2.85
Restaurants and hotels,PCPIRE_PC_CP_A_PT,5.65
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,3.55
