Indicator.Name,Indicator.Code,2017-09-30
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,7.06
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,11.5
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,2.94
Clothing and footwear,PCPIA_PC_CP_A_PT,3.47
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,3.27
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,2.95
Health,PCPIM_PC_CP_A_PT,3.3
Transport,PCPIT_PC_CP_A_PT,3.29
Communication,PCPIEC_PC_CP_A_PT,0.36
Recreation and culture,PCPIR_PC_CP_A_PT,1.09
Education,PCPIED_PC_CP_A_PT,3.04
Restaurants and hotels,PCPIRE_PC_CP_A_PT,5.16
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,3.34
