Indicator.Name,Indicator.Code,2017-12-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,4.5
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,4.68
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,
Clothing and footwear,PCPIA_PC_CP_A_PT,2.97
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,5.13
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,3.26
Health,PCPIM_PC_CP_A_PT,4.85
Transport,PCPIT_PC_CP_A_PT,5.82
Communication,PCPIEC_PC_CP_A_PT,0.53
Recreation and culture,PCPIR_PC_CP_A_PT,1.55
Education,PCPIED_PC_CP_A_PT,3.21
Restaurants and hotels,PCPIRE_PC_CP_A_PT,6.61
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,3.56
