Indicator.Name,Indicator.Code,2017-05-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,11.7
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,21.52
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,3.62
Clothing and footwear,PCPIA_PC_CP_A_PT,3.99
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,2.9
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,3.28
Health,PCPIM_PC_CP_A_PT,3.1
Transport,PCPIT_PC_CP_A_PT,4.64
Communication,PCPIEC_PC_CP_A_PT,0.11
Recreation and culture,PCPIR_PC_CP_A_PT,1.8
Education,PCPIED_PC_CP_A_PT,2.85
Restaurants and hotels,PCPIRE_PC_CP_A_PT,5.88
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,4.11
