Indicator.Name,Indicator.Code,2017-03-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,10.28
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,18.56
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,3.36
Clothing and footwear,PCPIA_PC_CP_A_PT,4.17
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,2.45
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,3.1
Health,PCPIM_PC_CP_A_PT,3.42
Transport,PCPIT_PC_CP_A_PT,4.89
Communication,PCPIEC_PC_CP_A_PT,0.17
Recreation and culture,PCPIR_PC_CP_A_PT,2.14
Education,PCPIED_PC_CP_A_PT,2.87
Restaurants and hotels,PCPIRE_PC_CP_A_PT,4.69
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,3.64
