Indicator.Name,Indicator.Code,2017-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,5.72
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,8.47
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,
Clothing and footwear,PCPIA_PC_CP_A_PT,2.92
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,3.58
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,3.19
Health,PCPIM_PC_CP_A_PT,3.17
Transport,PCPIT_PC_CP_A_PT,3.78
Communication,PCPIEC_PC_CP_A_PT,0.4
Recreation and culture,PCPIR_PC_CP_A_PT,1.04
Education,PCPIED_PC_CP_A_PT,3.14
Restaurants and hotels,PCPIRE_PC_CP_A_PT,5.96
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,3.29
