divisions,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Food & Non-alcoholic Beverages,0.21,0.1,0.18,-2.39,-6.58,-7.05
"Alcoholic Beverages, Tobacco & Narcotics",-10.33,-9.68,-9.85,-10.15,-7.41,-4.02
Clothing & Footwear,-10.27,-6.11,-6.6,-8.85,-3.76,-2.91
"Housing, Water, Electricity, Gas  & other fuels",-0.58,0.3,-0.22,0.26,2.46,1.86
"Furnishings, Household Equipment &  Routine Maintenance of the House",2.64,0.16,-2.34,-3.3,0.41,-4.24
Health,15.18,15.63,15.57,13.84,12.88,12.14
Transport,4.88,2.17,1.16,-0.9,-3.67,-2.57
Communication,5.35,5.4,5.36,3.11,3.09,4.16
Recreation & Culture,3.67,4.68,4.77,3.98,5.52,5.27
Education,21.83,21.63,21.59,23.19,23.19,23.19
Restaurants & Hotels,25.84,25.53,23.61,18.05,29.84,32.03
Miscellaneous Goods & Services,-11.29,-10.1,-4.05,-6.23,-1.46,-3.55
All,7.12,7.0,6.69,4.42,5.44,5.46
