divisions,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21
Food & Non-alcoholic Beverages,16.31,10.48,5.01,-2.53,-4.04,-3.95
"Alcoholic Beverages, Tobacco & Narcotics",-6.49,-7.49,-8.05,-6.89,-9.85,-10.24
Clothing & Footwear,-9.46,-14.17,-7.87,-6.53,-8.13,-8.17
"Housing, Water, Electricity, Gas  & other fuels",10.28,9.61,9.19,2.83,-0.36,-1.13
"Furnishings, Household Equipment &  Routine Maintenance of the House",-10.65,9.61,11.58,14.39,8.26,1.1
Health,46.37,52.59,51.62,51.54,39.75,30.48
Transport,5.85,6.73,9.11,8.4,7.97,4.85
Communication,-6.36,-6.86,-6.87,-6.57,-9.81,-7.63
Recreation & Culture,-1.6,-1.79,-0.83,1.85,2.09,3.35
Education,34.75,33.52,33.24,33.17,33.08,32.92
Restaurants & Hotels,13.66,10.41,9.69,25.67,31.6,38.82
Miscellaneous Goods & Services,-9.51,-9.12,-8.46,-10.94,-12.86,-14.02
All,12.92,10.5,9.96,9.41,8.16,8.1
